 ,Stitch's Great Escape!,"Monsters, Inc. Laugh Floor",Walt Disney's Enchanted Tiki Room,The Barnstormer,Under the Sea - Journey of The Little Mermaid,Seven Dwarfs Mine Train ,Astro Orbiter,Big Thunder Mountain Railroad,Buzz Lightyear's Space Ranger Spin,Prince Charming Regal Carrousel,Dumbo the Flying Elephant,it's a small world,Jungle Cruise,Liberty Square Riverboat,Mad Tea Party,Mickey's PhilharMagic,Peter Pan's Flight,Pirates of the Caribbean,Space Mountain,Splash Mountain,Haunted Mansion,The Magic Carpets of Aladdin,The Many Adventures of Winnie the Pooh,Tomorrowland Speedway,Tomorrowland Transit Authority PeopleMover,Walt Disney's Carousel of Progress,Country Bear Jamboree,The Hall of Presidents
2017-05-17 03:20:00 +0000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-05-17 03:20:00 +0000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-05-17 03:30:00 +0000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-05-17 03:30:00 +0000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-05-17 03:40:00 +0000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-05-17 03:50:00 +0000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-05-17 04:00:00 +0000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-05-17 04:10:00 +0000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-05-17 04:30:00 +0000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-05-17 04:40:00 +0000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-05-17 04:50:00 +0000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-05-17 05:10:00 +0000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-05-17 05:20:00 +0000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-05-17 05:30:00 +0000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-05-17 05:40:00 +0000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-05-17 06:00:00 +0000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-05-17 06:10:00 +0000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-05-17 06:20:00 +0000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-05-17 06:30:00 +0000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-05-17 06:50:00 +0000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-05-17 07:00:00 +0000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-05-17 07:10:00 +0000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-05-17 07:30:00 +0000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-05-17 07:40:00 +0000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-05-17 07:50:00 +0000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-05-17 08:00:00 +0000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-05-17 08:20:00 +0000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-05-17 08:30:00 +0000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-05-17 08:40:00 +0000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-05-17 09:00:00 +0000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-05-17 09:10:00 +0000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-05-17 09:20:00 +0000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-05-17 09:40:00 +0000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-05-17 09:50:00 +0000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-05-17 10:00:00 +0000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-05-17 10:20:00 +0000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-05-17 10:30:00 +0000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-05-17 10:40:00 +0000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-05-17 11:00:00 +0000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-05-17 11:10:00 +0000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-05-17 11:20:00 +0000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-05-17 11:40:00 +0000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-05-17 11:50:00 +0000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-05-17 12:00:00 +0000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-05-17 12:20:00 +0000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-05-17 12:30:00 +0000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-05-17 12:40:00 +0000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-05-17 13:00:00 +0000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-05-17 13:10:00 +0000,0,0,0,5,5,60,0,5,5,0,10,10,5,0,5,5,45,5,15,5,15,10,5,10,0,0,0,0
2017-05-17 13:20:00 +0000,0,0,0,5,5,60,0,5,10,0,10,10,25,0,5,5,40,10,15,20,15,15,30,30,0,0,0,0
2017-05-17 13:40:00 +0000,0,0,0,5,5,60,5,15,10,0,10,10,25,0,5,5,40,10,20,10,15,10,20,30,0,0,0,0
2017-05-17 13:50:00 +0000,0,0,0,5,5,60,5,15,15,0,15,10,45,0,5,5,50,15,40,15,10,0,25,30,0,0,0,0
2017-05-17 14:00:00 +0000,0,5,0,5,10,60,20,20,20,0,10,10,40,0,5,5,70,20,50,30,15,0,40,30,0,0,0,0
2017-05-17 14:20:00 +0000,0,10,0,5,10,60,20,15,25,0,10,10,30,0,5,5,60,25,50,35,15,0,35,30,0,0,0,0
2017-05-17 14:30:00 +0000,0,10,0,10,10,70,20,50,45,0,10,10,55,0,5,5,55,35,70,40,20,0,35,30,0,0,0,0
2017-05-17 14:40:00 +0000,0,10,0,10,10,70,20,35,45,0,10,10,45,0,5,5,65,40,70,40,20,0,35,30,0,0,0,0
2017-05-17 15:00:00 +0000,0,20,0,5,10,80,20,40,40,0,10,15,40,0,5,5,55,45,70,45,30,10,35,30,0,0,0,0
2017-05-17 15:10:00 +0000,0,20,0,15,10,70,20,45,40,0,10,15,50,0,15,5,55,40,85,45,30,20,40,30,0,0,0,0
2017-05-17 15:20:00 +0000,0,20,0,20,15,70,20,30,45,0,15,20,55,0,15,5,45,35,70,40,35,20,45,50,10,5,0,0
2017-05-17 15:40:00 +0000,0,20,0,20,15,70,20,40,50,0,20,25,55,0,10,10,60,45,75,45,30,25,45,40,10,5,0,0
2017-05-17 15:50:00 +0000,0,20,0,20,20,70,20,40,50,0,25,25,60,0,25,10,55,35,75,75,35,25,25,30,10,5,0,0
2017-05-17 16:00:00 +0000,0,10,0,15,25,70,30,45,40,0,30,30,70,0,15,10,65,35,55,50,35,25,15,30,10,5,0,0
2017-05-17 16:20:00 +0000,0,10,0,15,25,70,30,45,40,0,25,20,65,0,15,10,65,35,60,35,45,25,45,30,10,5,0,0
2017-05-17 16:30:00 +0000,0,20,0,15,20,70,30,35,30,0,25,20,45,0,10,10,55,50,60,50,50,25,40,30,10,5,0,0
2017-05-17 16:50:00 +0000,0,30,0,20,10,70,30,40,50,0,15,20,45,0,15,10,55,40,70,55,50,20,35,20,10,5,0,0
2017-05-17 17:00:00 +0000,0,30,0,20,10,80,30,40,70,0,15,25,55,0,15,10,70,40,60,85,40,15,30,20,10,5,0,0
2017-05-17 17:10:00 +0000,0,20,0,15,15,90,30,45,75,0,20,30,55,0,20,10,65,35,55,80,45,15,35,30,10,5,0,0
2017-05-17 17:30:00 +0000,0,10,0,15,20,90,20,45,70,0,25,30,45,0,10,10,50,35,65,80,35,20,35,30,10,5,0,0
2017-05-17 17:40:00 +0000,0,10,0,10,25,90,20,35,55,0,20,25,40,0,15,10,45,45,0,70,40,20,40,40,10,5,0,0
2017-05-17 17:50:00 +0000,0,10,0,15,25,80,20,45,45,0,25,25,30,0,15,10,60,55,0,60,40,20,40,30,10,5,0,0
2017-05-17 18:10:00 +0000,0,10,0,15,25,90,20,45,45,0,20,25,40,0,15,10,60,45,40,65,45,20,40,20,10,5,0,0
2017-05-17 18:20:00 +0000,0,10,0,20,20,70,20,35,45,0,20,30,40,0,15,10,60,40,40,60,45,15,35,20,10,5,0,0
2017-05-17 18:30:00 +0000,0,10,0,20,20,70,20,20,50,0,25,30,50,0,15,10,65,30,70,50,55,15,40,30,10,5,0,0
2017-05-17 18:50:00 +0000,0,10,0,20,20,60,20,25,40,0,15,35,50,0,10,10,70,30,75,45,55,15,40,20,10,5,0,0
2017-05-17 19:00:00 +0000,0,10,0,10,15,50,20,25,30,0,10,25,40,0,10,10,60,20,70,55,45,10,35,20,10,5,0,0
2017-05-17 19:10:00 +0000,0,20,0,15,15,60,20,15,30,0,10,20,30,0,5,10,50,15,70,45,40,10,30,20,10,5,0,0
2017-05-17 19:30:00 +0000,0,20,0,15,20,60,20,30,25,0,10,15,20,0,5,10,40,15,70,50,35,10,20,20,10,5,0,0
2017-05-17 19:40:00 +0000,0,20,0,15,15,60,20,30,40,0,20,15,45,0,10,10,70,50,65,55,40,10,35,30,10,5,0,0
2017-05-17 20:00:00 +0000,0,20,0,10,10,60,20,40,40,0,20,35,40,0,15,10,80,40,70,60,40,20,35,20,10,5,0,0
2017-05-17 20:10:00 +0000,0,10,0,15,10,70,30,40,45,0,15,35,40,0,10,10,75,35,65,50,40,15,30,20,10,5,0,0
2017-05-17 20:20:00 +0000,0,20,0,20,15,70,20,35,40,0,15,40,50,0,10,10,70,35,55,50,30,10,30,20,10,5,0,0
2017-05-17 20:40:00 +0000,0,10,0,15,20,80,20,35,30,0,20,35,45,0,10,10,75,0,0,50,40,15,40,20,10,5,0,0
2017-05-17 20:50:00 +0000,0,10,0,10,20,80,20,20,35,0,20,15,35,0,10,10,65,60,0,45,40,10,35,20,10,5,0,0
2017-05-17 21:00:00 +0000,0,10,0,20,20,80,30,25,30,0,15,20,70,0,10,10,70,50,0,50,40,0,35,20,10,5,0,0
2017-05-17 21:20:00 +0000,0,20,0,25,20,90,20,35,45,0,10,20,70,0,10,10,65,35,0,55,35,0,30,20,10,5,0,0
2017-05-17 21:30:00 +0000,0,10,0,25,20,90,20,30,40,0,10,25,55,0,10,10,60,60,0,65,40,15,35,20,10,5,0,0
