"Haunted Mansion,Feb,01:30,weekday",0
"The Magic Carpets of Aladdin,Feb,01:30,weekday",0
"The Many Adventures of Winnie the Pooh,Feb,01:30,weekday",0
"Tomorrowland Speedway,Feb,01:30,weekday",0
"Tomorrowland Transit Authority PeopleMover,Feb,01:30,weekday",0
"Walt Disney's Carousel of Progress,Feb,01:30,weekday",0
"Country Bear Jamboree,Feb,01:30,weekday",0
"The Hall of Presidents,Feb,01:30,weekday",0
"Monsters, Inc. Laugh Floor,02:00,Feb,weekday",0
"Walt Disney's Enchanted Tiki Room,02:00,Feb,weekday",0
"The Barnstormer,02:00,Feb,weekday",0
"Under the Sea - Journey of The Little Mermaid,02:00,Feb,weekday",0
"Seven Dwarfs Mine Train ,02:00,Feb,weekday",0
"02:00,Astro Orbiter,Feb,weekday",0
"02:00,Big Thunder Mountain Railroad,Feb,weekday",0
"Buzz Lightyear's Space Ranger Spin,02:00,Feb,weekday",0
"Prince Charming Regal Carrousel,02:00,Feb,weekday",0
"Dumbo the Flying Elephant,02:00,Feb,weekday",0
"02:00,Feb,it's a small world,weekday",0
"Jungle Cruise,02:00,Feb,weekday",0
"Liberty Square Riverboat,02:00,Feb,weekday",0
"02:00,Feb,Mad Tea Party,weekday",0
"02:00,Feb,Mickey's PhilharMagic,weekday",0
"Peter Pan's Flight,02:00,Feb,weekday",0
"Pirates of the Caribbean,02:00,Feb,weekday",0
"Space Mountain,02:00,Feb,weekday",0
"Splash Mountain,02:00,Feb,weekday",0
"Haunted Mansion,02:00,Feb,weekday",0
"The Magic Carpets of Aladdin,02:00,Feb,weekday",0
"The Many Adventures of Winnie the Pooh,02:00,Feb,weekday",0
"02:00,Tomorrowland Speedway,Feb,weekday",0
"Tomorrowland Transit Authority PeopleMover,02:00,Feb,weekday",0
"Walt Disney's Carousel of Progress,02:00,Feb,weekday",0
"Country Bear Jamboree,02:00,Feb,weekday",0
"02:00,The Hall of Presidents,Feb,weekday",0
"Monsters, Inc. Laugh Floor,02:30,Feb,weekday",0
"Walt Disney's Enchanted Tiki Room,02:30,Feb,weekday",0
"The Barnstormer,02:30,Feb,weekday",0
"Under the Sea - Journey of The Little Mermaid,02:30,Feb,weekday",0
"Seven Dwarfs Mine Train ,02:30,Feb,weekday",0
"Astro Orbiter,02:30,Feb,weekday",0
"Big Thunder Mountain Railroad,02:30,Feb,weekday",0
"Buzz Lightyear's Space Ranger Spin,02:30,Feb,weekday",0
"Prince Charming Regal Carrousel,02:30,Feb,weekday",0
"Dumbo the Flying Elephant,02:30,Feb,weekday",0
"02:30,Feb,it's a small world,weekday",0
"Jungle Cruise,02:30,Feb,weekday",0
"Liberty Square Riverboat,02:30,Feb,weekday",0
"Mad Tea Party,02:30,Feb,weekday",0
"02:30,Feb,Mickey's PhilharMagic,weekday",0
"Peter Pan's Flight,02:30,Feb,weekday",0
"Pirates of the Caribbean,02:30,Feb,weekday",0
"Space Mountain,02:30,Feb,weekday",0
"Splash Mountain,02:30,Feb,weekday",0
"Haunted Mansion,02:30,Feb,weekday",0
"The Magic Carpets of Aladdin,02:30,Feb,weekday",0
"The Many Adventures of Winnie the Pooh,02:30,Feb,weekday",0
"Tomorrowland Speedway,02:30,Feb,weekday",0
"Tomorrowland Transit Authority PeopleMover,02:30,Feb,weekday",0
"Walt Disney's Carousel of Progress,02:30,Feb,weekday",0
"Country Bear Jamboree,02:30,Feb,weekday",0
"02:30,Feb,The Hall of Presidents,weekday",0
"Monsters, Inc. Laugh Floor,Feb,03:00,weekday",0
"Walt Disney's Enchanted Tiki Room,Feb,03:00,weekday",0
"The Barnstormer,Feb,03:00,weekday",0
"Under the Sea - Journey of The Little Mermaid,Feb,03:00,weekday",0
"Seven Dwarfs Mine Train ,Feb,03:00,weekday",0
"Astro Orbiter,Feb,03:00,weekday",0
"Big Thunder Mountain Railroad,Feb,03:00,weekday",0
"Buzz Lightyear's Space Ranger Spin,Feb,03:00,weekday",0
"Prince Charming Regal Carrousel,Feb,03:00,weekday",0
"Dumbo the Flying Elephant,Feb,03:00,weekday",0
"it's a small world,Feb,03:00,weekday",0
"Jungle Cruise,Feb,03:00,weekday",0
"Liberty Square Riverboat,Feb,03:00,weekday",0
"Mad Tea Party,Feb,03:00,weekday",0
"Mickey's PhilharMagic,Feb,03:00,weekday",0
"Peter Pan's Flight,Feb,03:00,weekday",0
"Pirates of the Caribbean,Feb,03:00,weekday",0
"Space Mountain,Feb,03:00,weekday",0
"Splash Mountain,Feb,03:00,weekday",0
"Haunted Mansion,Feb,03:00,weekday",0
"The Magic Carpets of Aladdin,Feb,03:00,weekday",0
"The Many Adventures of Winnie the Pooh,Feb,03:00,weekday",0
"Tomorrowland Speedway,Feb,03:00,weekday",0
