Country Bear Jamboree,it's a small world,206
Dumbo the Flying Elephant,Haunted Mansion,328
Dumbo the Flying Elephant,Jungle Cruise,449
Dumbo the Flying Elephant,Liberty Square Riverboat,347
Dumbo the Flying Elephant,Mad Tea Party,72
Dumbo the Flying Elephant,Mickey's PhilharMagic,212
Dumbo the Flying Elephant,"Monsters, Inc. Laugh Floor",241
Dumbo the Flying Elephant,Peter Pan's Flight,249
Dumbo the Flying Elephant,Pirates of the Caribbean,493
Dumbo the Flying Elephant,Prince Charming Regal Carrousel,184
Dumbo the Flying Elephant,Seven Dwarfs Mine Train,160
Dumbo the Flying Elephant,Space Mountain,837
Dumbo the Flying Elephant,Splash Mountain,527
Dumbo the Flying Elephant,The Barnstormer,53
Dumbo the Flying Elephant,The Hall of Presidents,302
Dumbo the Flying Elephant,The Magic Carpets of Aladdin,411
Dumbo the Flying Elephant,The Many Adventures of Winnie the Pooh,114
Dumbo the Flying Elephant,Tomorrowland Speedway,130
Dumbo the Flying Elephant,Tomorrowland Transit Authority PeopleMover,245
Dumbo the Flying Elephant,Under the Sea - Journey of The Little Mermaid,121
Dumbo the Flying Elephant,Walt Disney's Carousel of Progress,275
Dumbo the Flying Elephant,Walt Disney's Enchanted Tiki Room,457
Dumbo the Flying Elephant,it's a small world,261
Haunted Mansion,Jungle Cruise,245
Haunted Mansion,Liberty Square Riverboat,59
Haunted Mansion,Mad Tea Party,248
Haunted Mansion,Mickey's PhilharMagic,138
Haunted Mansion,"Monsters, Inc. Laugh Floor",303
Haunted Mansion,Peter Pan's Flight,84
Haunted Mansion,Pirates of the Caribbean,272
Haunted Mansion,Prince Charming Regal Carrousel,142
Haunted Mansion,Seven Dwarfs Mine Train,210
Haunted Mansion,Space Mountain,830
Haunted Mansion,Splash Mountain,261
Haunted Mansion,The Barnstormer,375
Haunted Mansion,The Hall of Presidents,68
Haunted Mansion,The Magic Carpets of Aladdin,211
Haunted Mansion,The Many Adventures of Winnie the Pooh,223
Haunted Mansion,Tomorrowland Speedway,325
Haunted Mansion,Tomorrowland Transit Authority PeopleMover,363
Haunted Mansion,Under the Sea - Journey of The Little Mermaid,313
Haunted Mansion,Walt Disney's Carousel of Progress,372
Haunted Mansion,Walt Disney's Enchanted Tiki Room,237
Haunted Mansion,it's a small world,77
Jungle Cruise,Liberty Square Riverboat,184
Jungle Cruise,Mad Tea Party,359
Jungle Cruise,Mickey's PhilharMagic,321
Jungle Cruise,"Monsters, Inc. Laugh Floor",321
Jungle Cruise,Peter Pan's Flight,298
Jungle Cruise,Pirates of the Caribbean,70
Jungle Cruise,Prince Charming Regal Carrousel,317
Jungle Cruise,Seven Dwarfs Mine Train,382
Jungle Cruise,Space Mountain,810
Jungle Cruise,Splash Mountain,209
Jungle Cruise,The Barnstormer,504
Jungle Cruise,The Hall of Presidents,198
Jungle Cruise,The Magic Carpets of Aladdin,32
Jungle Cruise,The Many Adventures of Winnie the Pooh,390
Jungle Cruise,Tomorrowland Speedway,401
Jungle Cruise,Tomorrowland Transit Authority PeopleMover,381
Jungle Cruise,Under the Sea - Journey of The Little Mermaid,502
Jungle Cruise,Walt Disney's Carousel of Progress,389
Jungle Cruise,Walt Disney's Enchanted Tiki Room,35
Jungle Cruise,it's a small world,290
Liberty Square Riverboat,Mad Tea Party,254
Liberty Square Riverboat,Mickey's PhilharMagic,157
Liberty Square Riverboat,"Monsters, Inc. Laugh Floor",249
Liberty Square Riverboat,Peter Pan's Flight,103
Liberty Square Riverboat,Pirates of the Caribbean,204
Liberty Square Riverboat,Prince Charming Regal Carrousel,161
Liberty Square Riverboat,Seven Dwarfs Mine Train,229
Liberty Square Riverboat,Space Mountain,775
Liberty Square Riverboat,Splash Mountain,193
Liberty Square Riverboat,The Barnstormer,394
Liberty Square Riverboat,The Hall of Presidents,31
Liberty Square Riverboat,The Magic Carpets of Aladdin,143
Liberty Square Riverboat,The Many Adventures of Winnie the Pooh,242
Liberty Square Riverboat,Tomorrowland Speedway,296
Liberty Square Riverboat,Tomorrowland Transit Authority PeopleMover,309
Liberty Square Riverboat,Under the Sea - Journey of The Little Mermaid,332
Liberty Square Riverboat,Walt Disney's Carousel of Progress,317
Liberty Square Riverboat,Walt Disney's Enchanted Tiki Room,169
Liberty Square Riverboat,it's a small world,96
Mad Tea Party,Mickey's PhilharMagic,125
Mad Tea Party,"Monsters, Inc. Laugh Floor",164
Mad Tea Party,Peter Pan's Flight,163
Mad Tea Party,Pirates of the Caribbean,389
Mad Tea Party,Prince Charming Regal Carrousel,97
Mad Tea Party,Seven Dwarfs Mine Train,73
Mad Tea Party,Space Mountain,734
Mad Tea Party,Splash Mountain,428
Mad Tea Party,The Barnstormer,114
Mad Tea Party,The Hall of Presidents,202
Mad Tea Party,The Magic Carpets of Aladdin,308
Mad Tea Party,The Many Adventures of Winnie the Pooh,28
